run_date,platform,backend,input_bits,circuit_length,shots,counts_json,success_probability,job_id,job_start_time,job_end_time,qpu_execution_sec,sdk_version,notes
2024-02-16,ionq,Harmony,01,2,1000,"{""00"": 10, ""10"": 16, ""01"": 17, ""11"": 957}",0.957,arn:aws:braket:us-east-1:835581428919:quantum-task/b7120783-77ed-4551-870e-617daf12db35,2024-02-16T19:58:26.886Z,2024-04-11T16:18:40.416Z,,,
2024-02-16,ionq,Harmony,11,5,1000,"{""00"": 26, ""10"": 20, ""01"": 944, ""11"": 10}",0.944,arn:aws:braket:us-east-1:835581428919:quantum-task/b718ea08-f5e0-4e70-8b15-bd842a9d9550,2024-02-16T19:34:39.726Z,2024-04-06T01:16:37.606Z,,,
2024-02-16,ionq,Harmony,01,5,1000,"{""00"": 21, ""10"": 33, ""01"": 14, ""11"": 932}",0.932,arn:aws:braket:us-east-1:835581428919:quantum-task/b74aa6d7-b5ef-436e-a199-3254a05c97eb,2024-02-16T18:56:02.301Z,2024-04-04T10:43:41.665Z,,,
2024-02-16,ionq,Harmony,00,2,1000,"{""00"": 971, ""10"": 15, ""01"": 7, ""11"": 7}",0.971,arn:aws:braket:us-east-1:835581428919:quantum-task/b76122c7-8f45-4a1e-9e8e-ca2f4b36c3d8,2024-02-16T19:59:40.867Z,2024-04-11T23:47:49.335Z,,,
2024-02-16,ionq,Harmony,01,6,1000,"{""00"": 26, ""10"": 24, ""01"": 923, ""11"": 27}",0.923,arn:aws:braket:us-east-1:835581428919:quantum-task/b77cf636-eafd-421a-b8d1-7fa4576aa669,2024-02-16T18:56:07.462Z,2024-04-04T10:50:13.868Z,,,
2024-02-16,ionq,Harmony,01,3,1000,"{""00"": 25, ""10"": 926, ""01"": 25, ""11"": 24}",0.926,arn:aws:braket:us-east-1:835581428919:quantum-task/b7860067-87e2-496f-b6c5-334b10655911,2024-02-16T19:57:05.699Z,2024-04-11T01:02:52.022Z,,,
2024-02-16,ionq,Harmony,10,6,1000,"{""00"": 25, ""10"": 931, ""01"": 25, ""11"": 19}",0.931,arn:aws:braket:us-east-1:835581428919:quantum-task/b7b38abf-29ef-4901-89b6-3d9745fcdc74,2024-02-16T19:56:33.819Z,2024-04-08T10:37:44.025Z,,,
2024-02-16,ionq,Harmony,00,5,1000,"{""00"": 882, ""10"": 13, ""01"": 41, ""11"": 64}",0.882,arn:aws:braket:us-east-1:835581428919:quantum-task/b7bc2072-2a3e-4b41-be46-6568ab5e0237,2024-02-16T19:35:38.735Z,2024-04-06T17:34:41.497Z,,,
2024-02-16,ionq,Harmony,00,2,1000,"{""00"": 974, ""10"": 12, ""01"": 9, ""11"": 5}",0.974,arn:aws:braket:us-east-1:835581428919:quantum-task/b7d6632b-87a9-4deb-945a-67e866c8edfd,2024-02-16T19:32:28.682Z,2024-04-05T13:16:11.785Z,,,
2024-02-16,ionq,Harmony,01,5,1000,"{""00"": 14, ""10"": 28, ""01"": 27, ""11"": 931}",0.931,arn:aws:braket:us-east-1:835581428919:quantum-task/b7fb9c17-d740-40a5-97b8-d9f18b9d6890,2024-02-16T18:55:36.057Z,2024-04-04T09:01:33.101Z,,,
2024-02-16,ionq,Harmony,01,1,1000,"{""00"": 15, ""01"": 979, ""11"": 6}",0.979,arn:aws:braket:us-east-1:835581428919:quantum-task/b7fdc092-d30b-4d02-b029-7cc0fdc10bbe,2024-02-16T18:56:25.659Z,2024-04-04T15:19:20.171Z,,,
2024-02-16,ionq,Harmony,10,1,1000,"{""00"": 2, ""10"": 28, ""01"": 10, ""11"": 960}",0.96,arn:aws:braket:us-east-1:835581428919:quantum-task/b82c4439-7a49-4ae3-b541-db58578b95ea,2024-02-16T19:58:05.594Z,2024-04-11T12:51:17.910Z,,,
2024-02-16,ionq,Harmony,01,1,1000,"{""00"": 20, ""10"": 2, ""01"": 976, ""11"": 2}",0.976,arn:aws:braket:us-east-1:835581428919:quantum-task/b82fb906-55b2-452b-aae2-f0240577ab61,2024-02-16T19:32:51.596Z,2024-04-05T14:59:34.339Z,,,
2024-02-16,ionq,Harmony,00,3,1000,"{""00"": 948, ""10"": 11, ""01"": 29, ""11"": 12}",0.948,arn:aws:braket:us-east-1:835581428919:quantum-task/b8691921-ccdb-46c3-80e6-e7cb2760e49a,2024-02-16T18:57:52.052Z,2024-04-05T12:58:04.879Z,,,
2024-02-16,ionq,Harmony,00,5,1000,"{""00"": 942, ""10"": 10, ""01"": 28, ""11"": 20}",0.942,arn:aws:braket:us-east-1:835581428919:quantum-task/b8834558-130e-4b32-8902-71be19af86b9,2024-02-16T19:57:53.436Z,2024-04-11T08:25:14.398Z,,,
2024-02-16,ionq,Harmony,10,1,1000,"{""00"": 4, ""10"": 16, ""01"": 15, ""11"": 965}",0.965,arn:aws:braket:us-east-1:835581428919:quantum-task/b8a5b08d-07d1-4b58-8364-8841004df06e,2024-02-16T19:35:12.269Z,2024-04-06T12:34:35.799Z,,,
2024-02-16,ionq,Harmony,11,5,1000,"{""00"": 42, ""10"": 21, ""01"": 917, ""11"": 20}",0.917,arn:aws:braket:us-east-1:835581428919:quantum-task/b8a67a9d-899a-4cdf-b0d9-5535da3350f9,2024-02-16T19:56:39.769Z,2024-04-09T19:56:24.918Z,,,
2024-02-16,ionq,Harmony,00,1,1000,"{""00"": 985, ""10"": 4, ""01"": 11}",0.985,arn:aws:braket:us-east-1:835581428919:quantum-task/b8e37add-c8e9-44ca-a769-26fadc943d89,2024-02-16T19:33:43.261Z,2024-04-05T20:51:45.601Z,,,
